SWING vs. BEBOP, (N = 106 vs. 138)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
3, int_bigram_entropy, 5.829245283018868, 5.137898550724637, ***, 0.5938162681602868
10, ioiclass_abs_hist_01_very_short, 0.3059433962264151, 0.42543478260869566, ***, -0.6081372183715877
13, int_entropy, 3.505283018867924, 3.172971014492753, ***, 0.5592166406238868
16, fuzzyint_hist_06_step_down, 0.22160377358490568, 0.3094927536231884, ***, -0.7441944759582247
17, durclass_abs_hist_01_very_short, 0.47216981132075475, 0.5968840579710145, ***, -0.5481168499973138
18, mean_length_step, 4.467264150943396, 5.175, ***, -0.5418871414149021
