Chet Baker vs. Lee Konitz-Warne Marsh, (N = 15 vs. 27)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, ioiclass_rel_hist_02_short, 0.5473333333333332, 0.782962962962963, ***, -1.2893773159746966
1, ric_mean_seg_len_02_short, 3.5393333333333334, 5.258518518518519, *, -0.7320706878745424
3, aic_mean_seg_len_01_very_short, 1.3339999999999999, 2.6340740740740736, *, -0.7545852776840603
5, durclass_bigram_entropy, 2.502, 1.5285185185185184, ***, 1.388141201559999
8, cdpcx_density_4, 0.12933333333333336, 0.08037037037037037, **, 1.062220596918488
9, mean_length_seq_descending, 4.1546666666666665, 4.837777777777778, *, -0.7696807963472568
11, ioiclass_abs_hist_01_very_short, 0.20733333333333334, 0.5096296296296295, ***, -1.2797252403252855
12, ric_mean_seg_len, 2.3539999999999996, 3.0996296296296295, *, -0.7135190834116307
