Chet Baker vs. Gerry Mulligan-Stan Getz-Zoot Sims, (N = 15 vs. 56)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, pitch_median, 68.53333333333333, 61.723214285714285, ***, 2.116018391093524
3, durclass_bigram_entropy, 2.502, 1.9014285714285712, **, 0.7846158504874792
8, ric_mean_seg_len_03_medium, 1.8953333333333333, 1.4905357142857143, *, 0.75353294971285
9, durclass_abs_hist_01_very_short, 0.45266666666666666, 0.6666071428571428, **, -0.8712906967277354
11, durclass_abs_hist_02_short, 0.42199999999999993, 0.2357142857142857, ***, 1.054338572181688
